facility,operator,street,zip_code,city
350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago
600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago
505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake
2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village
9355 Grand Ave (ORD13),Digital Realty,9355 Grand Ave,60131,Franklin Park
9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park
1400 East Devon Avenue (CH3),Digital Realty,1400 East Devon Avenue,60007,Elk Grove Village
9377 Grand Ave (ORD14),Digital Realty,9377 Grand Ave,60131,Franklin Park
2425-2553 Edgington Street (ORD22),Digital Realty,2425-2553 Edgington St,60131,Franklin Park
2299 Busse Road (CH2),Digital Realty,2299 Busse Road,60007,Elk Grove Village
9401 West Grand Avenue (ORD15),Digital Realty,9401 W Grand Ave,60131,Franklin Park
Hivelocity - Chicago 1,Hivelocity,350 East Cermak Road,60616,Chicago
CyrusOne CHI5 - Lombard,CyrusOne Data Centers,1850 Springers Drive,60148,Lombard
GDC - Chicago CH1 Data Center,"NTT DATA, Inc.",255 Pierce Road,60143,Itasca
CyrusOne CHI2 - Aurora,CyrusOne Data Centers,2805 Diehl Rd,60502,Aurora
Summit Elk Grove Village,Summit (formerly Deft),2200 Busse Rd,60007,Elk Grove Village
Centersquare - Chicago ORD4-A,Csquare,4513 Western Ave,60532,Lisle
T5 Data Centers - T5@Chicago,T5 Data Centers,200 Innovation Dr,60007,Elk Grove Village
Serverfarm Chicago Data Center CH1,Serverfarm,840 S. Canal Street,60607,Chicago
Netrality - 717 S Wells,Netrality,717 S. Wells,60607,Chicago
Prime Chicago Data Center Campus,Prime Data Centers,1701 Midway Ct,60007,Elk Grove Village
Prime Chicago - Building 1,Prime Data Centers,"1500 E Higgins Rd, Elk Grove Village, IL 60007, USA",60007,Elk Grove Village
Prime Chicago - Building 3,Prime Data Centers,1701 Midway Court,60007,Elk Grove Village
Summit Chicago,Summit (formerly Deft),350 East Cermak Road,60616,Chicago
Colocation America CHIDC1,Colocation America,350 E. Cermak Rd,60616,Chicago
Iron Mountain Data Centers CHI-1,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Des Plaines
CyrusOne CHI1 - Aurora,CyrusOne Data Centers,2905 Diehl Rd.,60148,Lombard
Legacy - Chicago Byte Exchange,Legacy Investing,400 S LaSalle St,60605,Chicago
Prime Chicago - Building 2,Prime Data Centers,1600 Oakton St,60007,Elk Grove Village
Apotech Data Center,Apotech,1331 E Business Center Dr,60056,Mt Prospect
TierPoint Chicago - Polk,TierPoint,601 W. Polk St.,60607,Chicago
