scraped_city,state,facility,operator,street,zip_code,city_in_desc,first_permit,street_standard,address_count
Chicago,IL,,,,,,,,3
Chicago,IL,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago,,350_e_cermak_rd,24
Chicago,IL,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago,,600_s_federal_st,4
Chicago,IL,2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village,,2200_busse_rd,8
Chicago,IL,505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake,,505_n_railroad_ave,4
Chicago,IL,9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park,,9333_grand_ave,2
Chicago,IL,9355 Grand Ave (ORD13),Digital Realty,9355 Grand Ave,60131,Franklin Park,,9355_grand_ave,2
Chicago,IL,9377 Grand Ave (ORD14),Digital Realty,9377 Grand Ave,60131,Franklin Park,,9377_grand_ave,2
Chicago,IL,1400 East Devon Avenue (CH3),Digital Realty,1400 East Devon Avenue,60007,Elk Grove Village,,1400_e_devon_ave,2
Chicago,IL,2425-2553 Edgington Street (ORD22),Digital Realty,2425-2553 Edgington St,60131,Franklin Park,,2425_2553_edgington_st,2
Chicago,IL,2299 Busse Road (CH2),Digital Realty,2299 Busse Road,60007,Elk Grove Village,,2299_busse_rd,2
Chicago,IL,9401 West Grand Avenue (ORD15),Digital Realty,9401 W Grand Ave,60131,Franklin Park,,9401_w_grand_ave,2
Chicago,IL,CyrusOne CHI5 - Lombard,CyrusOne Data Centers,1850 Springers Drive,60148,Lombard,,1850_springers_dr,2
Chicago,IL,GDC - Chicago CH1 Data Center,"NTT DATA, Inc.",255 Pierce Road,60143,Itasca,,255_pierce_rd,4
Chicago,IL,CyrusOne CHI2 - Aurora,CyrusOne Data Centers,2805 Diehl Rd,60502,Aurora,,2805_diehl_rd,2
Chicago,IL,Netrality - 717 South Wells Chicago Data Center,Netrality,"717 South Wells Street, Chicago, IL, USA",60607,Chicago,,717_s_wells_st_chicago_il_usa,2
Chicago,IL,Centersquare - Chicago ORD4-A,Csquare,4513 Western Ave,60532,Lisle,,4513_western_ave,2
Chicago,IL,T5 Data Centers - T5@Chicago,T5 Data Centers,200 Innovation Dr,60007,Elk Grove Village,,200_innovation_dr,2
Chicago,IL,Serverfarm Chicago Data Center CH1,Serverfarm,840 S. Canal Street,60607,Chicago,,840_s_canal_st,4
Chicago,IL,Prime Chicago - Building 1,Prime Data Centers,"1500 E Higgins Rd, Elk Grove Village, IL 60007, USA",60007,Elk Grove Village,,1500_e_higgins_rd_elk_grove_village_il_60007_usa,2
Chicago,IL,Prime Chicago Data Center Campus,Prime Data Centers,1701 Midway Ct,60007,Elk Grove Village,,1701_midway_ct,4
Chicago,IL,Iron Mountain Data Centers CHI-1,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Des Plaines,,1680_touhy_ave,2
Chicago,IL,CyrusOne CHI1 - Aurora,CyrusOne Data Centers,2905 Diehl Rd.,60148,Lombard,,2905_diehl_rd,2
Chicago,IL,Legacy - Chicago Byte Exchange,Legacy Investing,400 S LaSalle St,60605,Chicago,,400_s_lasalle_st,2
Chicago,IL,Prime Chicago - Building 2,Prime Data Centers,1600 Oakton St,60007,Elk Grove Village,,1600_oakton_st,2
Chicago,IL,Apotech Data Center,Apotech,1331 E Business Center Dr,60056,Mt Prospect,,1331_e_business_center_dr,2
Chicago,IL,Element Critical Chicago One,Element Critical,711 N. Edgewood Ave.,60191,Wood Dale,,711_n_edgewood_ave,2
Chicago,IL,Skybox Chicago I,Skybox Datacenters,800 E Devon Ave,60007,Elk Grove Village,,800_e_devon_ave,2
Chicago,IL,DataBank ORD4 - Chicago Tri-State,DataBank,1808 Swift Dr,60523,Oak Brook,,1808_swift_dr,8
Chicago,IL,DataBank ORD3 - Mount Prospect,DataBank,800 E Business Center Dr,60056,Mt. Prospect,,800_e_business_center_dr,2
Chicago,IL,Element Critical Chicago Two,Element Critical,341 Haynes Dr,60191,Wood Dale,,341_haynes_dr,2
Chicago,IL,Cogent Data Center - Chicago 2,"Cogent Communications, Inc.",216 W. Jackson Blvd,60606,Chicago,,216_w_jackson_blvd,6
Chicago,IL,Cogent Data Center - Chicago 1,"Cogent Communications, Inc.",427 LaSalle St,60606,Chicago,,427_lasalle_st,2
Chicago,IL,GigeNET Chicago,GigeNET,545 E Algonquin Rd,60005,Arlington Heights,,545_e_algonquin_rd,2
Chicago,IL,Equinix CH7,Equinix,111 Plaza Drive,60559,Westmont,,111_plaza_dr,2
Chicago,IL,TierPoint Chicago - West,TierPoint,9333 West Grand Ave.,60131,Franklin Park,,9333_w_grand_ave,2
Chicago,IL,US Signal Chicago IL01,"US Signal Company, LLC",810 Jorie Blvd,60523,Oak Brook,,810_jorie_blvd,2
Chicago,IL,STACK Infrastructure CHI01B,STACK INFRASTRUCTURE,1301 Touhy Ave,60007,Elk Grove Village,,1301_touhy_ave,2
Chicago,IL,TierPoint Chicago - Polk,TierPoint,601 W. Polk St.,60607,Chicago,,601_w_polk_st,6
Chicago,IL,Stream DC Chicago I,Stream Data Centers,2080 Lunt Avenue,60007,Elk Grove Village,,2080_lunt_ave,2
Chicago,IL,EdgeConneX Chicago - EDCCHI02,EdgeConneX,2021 Lunt Ave,60007,Elk Grove Village,,2021_lunt_ave,2
Chicago,IL,HydraVault Data Center,HydraVault,2538 S Wabash Ave,60616,Chicago,,2538_s_wabash_ave,2
Chicago,IL,Centersquare - Chicago ORD1-A,Csquare,350 East Cermak,60616,Chicago,,350_e_cermak,6
Chicago,IL,SBA Edge Chicago,SBA Edge,603 Discovery Drive,60185,West Chicago,,603_discovery_dr,2
Chicago,IL,CoreSite Chicago (CH1),CoreSite,427 South LaSalle,60605,Chicago,,427_s_lasalle,2
Chicago,IL,QTS Chicago 1 DC1,QTS Data Centers,2800 S. Ashland Ave,60608,Chicago,,2800_s_ashland_ave,2
Chicago,IL,Metro Edge IMD1,Metro Edge,1951 W Hastings St,60608,Chicago,,1951_w_hastings_st,4
Chicago,IL,Stream DC Chicago II,Stream Data Centers,1925 Busse Road,60007,Elk Grove Village,,1925_busse_rd,2
Chicago,IL,725 S. Wells,1547 Critical Systems Realty,725 S Wells,60607,Chicago,,725_s_wells,4
Chicago,IL,CDW Elk Grove Data Center,CDW Corporation,1441 Touhy Ave,60007,Elk Grove Village,,1441_touhy_ave,4
Chicago,IL,Digital Fortress Chicago,Digital Fortress,360 E 22nd St.,60148,Lombard,,360_e_22nd_st,6
Chicago,IL,GDC - Chicago CH2 Data Center,"NTT DATA, Inc.",275 Pierce Rd,60143,Itasca,,275_pierce_rd,2
Chicago,IL,Cogent Data Center - Chicago 3,"Cogent Communications, Inc.",4200 W 40th St,60632,Chicago,,4200_w_40th_st,2
Chicago,IL,365 Data Centers - Chicago 1,365 Data Centers,427 S La Salle St,60605,Chicago,,427_s_la_salle_st,2
Chicago,IL,Aligned ORD-01,Aligned Data Centers,505 Northwest Avenue,60164,Northlake,,505_northwest_ave,6
Chicago,IL,XNet Critical Computing Facility,"XNet Information Systems, Inc.",3080 Ogden Ave,60532,Lisle,,3080_ogden_ave,2
Chicago,IL,Microsoft Northlake,Microsoft,601-605 Northwest Ave,60164,Northlake,,601_605_northwest_ave,2
Chicago,IL,711 Ogden Avenue,CloudCenters,711 Ogden Ave,60532,Lisle,,711_ogden_ave,2
Chicago,IL,Centersquare - Chicago ORD2-A,Csquare,2425 Busse Road,60007,Elk Grove Village,,2425_busse_rd,2
Chicago,IL,CloudHQ ORD Campus,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines,,1200_e_algonquin_rd,8
