"","unique(chicagometro_housing$ZCTA5CE20)"
"1","60047"
"2","60010"
"3","61368"
"4","61356"
"5","61354"
"6","61327"
"7","61322"
"8","61362"
"9","61326"
"10","61329"
"11","61312"
"12","61320"
"13","61314"
"14","61443"
"15","61234"
"16","61379"
"17","61345"
"18","61344"
"19","61361"
"20","61421"
"21","61330"
"22","61349"
"23","61323"
"24","61374"
"25","61376"
"26","61337"
"27","61342"
"28","61317"
"29","61328"
"30","61367"
"31","61243"
"32","61338"
"33","61277"
"34","61346"
"35","61283"
"36","61560"
"37","61537"
"38","61340"
"39","61359"
"40","61315"
"41","60087"
"42","60031"
"43","60083"
"44","60085"
"45","60046"
"46","60073"
"47","60030"
"48","60048"
"49","60060"
"50","60084"
"51","60015"
"52","60045"
"53","60035"
"54","60040"
"55","60069"
"56","60089"
"57","60002"
"58","60020"
"59","60041"
"60","60074"
"61","60004"
"62","60022"
"63","60062"
"64","60090"
"65","60081"
"66","60051"
"67","60050"
"68","60021"
"69","60044"
"70","60061"
"71","60013"
"72","53158"
"73","53142"
"74","60099"
"75","60075"
"76","60096"
"77","60088"
"78","60064"
"79","60450"
"80","60410"
"81","60447"
"82","60416"
"83","60481"
"84","60424"
"85","60408"
"86","60407"
"87","60444"
"88","60479"
"89","61360"
"90","60961"
"91","60935"
"92","60420"
"93","60474"
"94","60470"
"95","60437"
"96","61313"
"97","60541"
"98","52070"
"99","61074"
"100","61285"
"101","61046"
"102","61062"
"103","52031"
"104","52064"
"105","61014"
"106","61053"
"107","61028"
"108","52732"
"109","61041"
"110","61252"
"111","61051"
"112","61270"
"113","61081"
"114","61078"
"115","61064"
"116","61030"
"117","61007"
"118","60968"
"119","60955"
"120","60959"
"121","60928"
"122","60970"
"123","60930"
"124","60938"
"125","47917"
"126","60953"
"127","60966"
"128","60942"
"129","60973"
"130","47942"
"131","47944"
"132","60967"
"133","60974"
"134","47951"
"135","60931"
"136","60945"
"137","60951"
"138","60958"
"139","60912"
"140","60964"
"141","47963"
"142","60956"
"143","60946"
"144","60911"
"145","60927"
"146","60941"
"147","60919"
"148","60922"
"149","60918"
"150","60924"
"151","60957"
"152","60960"
"153","60926"
"154","60948"
"155","60939"
"156","60962"
"157","60042"
"158","53179"
"159","53104"
"160","53192"
"161","53181"
"162","53525"
"163","61011"
"164","60033"
"165","61012"
"166","61008"
"167","61065"
"168","61111"
"169","61073"
"170","61038"
"171","61080"
"172","53585"
"173","60146"
"174","61016"
"175","60135"
"176","60152"
"177","60145"
"178","61114"
"179","61107"
"180","60553"
"181","61310"
"182","61378"
"183","60550"
"184","60518"
"185","60530"
"186","61031"
"187","61353"
"188","61331"
"189","61318"
"190","61021"
"191","61071"
"192","61057"
"193","61042"
"194","61324"
"195","61006"
"196","61091"
"197","61061"
"198","60150"
"199","61068"
"200","53184"
"201","60034"
"202","60098"
"203","53147"
"204","60102"
"205","60118"
"206","60156"
"207","60014"
"208","60180"
"209","60140"
"210","60012"
"211","60142"
"212","60072"
"213","60097"
"214","60071"
"215","53128"
"216","61350"
"217","60551"
"218","60549"
"219","60557"
"220","61372"
"221","61373"
"222","61341"
"223","61348"
"224","61301"
"225","61371"
"226","60537"
"227","60531"
