ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
46301,4.433789954337899,4.161178509532062,4.267796610169492,4.067415730337078,4.209337349397591,4.315584415584415,4.395128552097429,4.319148936170213,4.396072013093289,4.425,4.439130434782609,4.477011494252873,4.572739187418087,4.598097502972651
46302,,,,,,,,,,,3.409090909090909,3.5806451612903225,4.173076923076923,5.152173913043479
46303,4.534190179736921,4.477619139494501,4.460654796094199,4.488832487309645,4.4342431761786605,4.385106592003144,4.38109816314438,4.3858644640510605,4.397260273972603,4.351216912417836,4.421903199343724,4.448242040138826,4.564373763506316,4.594423500960239
46304,4.493639311549015,4.472253277772131,4.475397936433867,4.487206320966982,4.440118992665538,4.449286053005954,4.503298726538128,4.464469566972848,4.496591683708248,4.465819141280883,4.564891256102974,4.569695706544393,4.600008299443937,4.634067280705222
46307,4.4832286043012655,4.50291053592525,4.460960546700906,4.511948490605869,4.531396497719102,4.560830548725385,4.543933922716142,4.561878135021791,4.580311730926989,4.580660205198913,4.616780045351474,4.643812197448217,4.651475525711256,4.649912556838055
46310,4.111041861431391,4.224479220644627,4.19646221477915,4.112476567381796,4.068635437881873,4.013316361500049,3.9718115513502856,4.003257935399796,4.079966564502647,4.050152678819284,4.153707566849991,4.211526451958248,4.281105581230004,4.309219117262993
46311,4.586664104534973,4.541327997999249,4.482938329817595,4.426771653543307,4.443880746586497,4.426226484691996,4.4568775668115,4.524272983114447,4.535448402244874,4.541518887575297,4.633832133213321,4.646870668514767,4.6920243515629,4.68439805289306
46312,3.818685943456949,3.786784498958809,3.6761290322580646,3.688263697280252,3.369189775979473,3.2640246286161063,3.297264467227054,3.345580300206024,3.2871511068334938,3.2197662959312967,3.382326374949819,3.611018034887159,3.72270502447308,3.905557500875394
46319,4.378642111050027,4.344662551154887,4.32220124872949,4.285962499095056,4.219702493801954,4.206828913912096,4.274522203485104,4.396483699037862,4.482727462292347,4.492040913093545,4.637367786852323,4.6481582911132415,4.689805344770702,4.705593468971236
46320,3.683381464951431,3.670134258024362,3.709966004651995,3.6564326129301543,3.549627911471924,3.479927701674277,3.425290697674418,3.385647489327099,3.3848384838483847,3.339348419820523,3.499229444293355,3.724227763304801,3.805210347049618,4.028385463749774
46321,4.441108666037934,4.478616684266103,4.42745244311824,4.41399712168861,4.395967051775781,4.406665237891128,4.403108588403798,4.361612101338129,4.487711254464999,4.575185727455128,4.66859756097561,4.684836184401275,4.7242726673571225,4.745287872410084
46322,4.38719920615232,4.3792375012574185,4.345235050386209,4.33160516417607,4.276720045902666,4.281228740384112,4.291798352416973,4.343146944083225,4.370705529541747,4.363777089783282,4.512185534591195,4.595629462788135,4.605894036676059,4.613328451116807
46323,4.198653392415261,4.16706245547376,4.173868374932012,4.116599755629255,4.1132223903177,4.148698659224656,4.192428827271043,4.191707616707617,4.22779827798278,4.2027980841946055,4.295585177938119,4.416972173808523,4.49377667140825,4.519643792561551
46324,4.274242514435383,4.257821311962006,4.258780256288562,4.3021854695806265,4.192897352976404,4.149952527889865,4.15326323209775,4.161649214659686,4.167192241328018,4.221237899677325,4.267287463355751,4.4235877558000345,4.497178040020524,4.578768079521975
