City,Operator,Address,Zipcode,first_permit
Chicago,"Cogent Communications, Inc. / QTS",4200 W 40th St,60632,2015
Chicago,Related Digital / Digital Crossroad,8080 S DuSable Lake Shore Dr,60617,2020
Chicago,HydraVault,2538 S Wabash Ave,60616,NOTFOUND
Chicago,Lumen /  / DXC Technology,350 E Cermark Road,60616,2011
Chicago,1547 Critical Systems Realty,40 E Garfield Blvd,60615,NOTFOUND
Chicago,Lumen,600 West Chicago Ave.,60610,NOTFOUND
Chicago,Metro Edge,1951 W Hastings St,60608,NOTFOUND
Chicago,QTS Data Centers,2800 S. Ashland Ave,60608,2015
Chicago,CoreSite,1432 S Clinton St.,60607,NOTFOUND
Chicago,TierPoint,601 W. Polk St.,60607,2016
Chicago,Sinch / Digital Capital Partners,717 S Wells St,60607,2010
Chicago,Serverfarm,840 S. Canal Street,60607,2016
Chicago,Lumen,111 N Canal St,60606,NOTFOUND
Chicago,"Cogent Communications, Inc.",216 W. Jackson Blvd,60606,NOTFOUND
Chicago,CoreSite,400 S LaSalle St,60605,2013
Chicago,Digital Realty,600 South Federal Street,60605,2018
Chicago,Lumen,200 N LaSalle St,60601,NOTFOUND
Chicago,"NetSource Communications, Inc.",1717 Park St.,60563,NOTFOUND
Chicago,WOWaccess,184 Shuman Blvd,60563,NOTFOUND
Chicago,KARIS Critical,1940 Lucent Ln,60563,NOTFOUND
Chicago,"NetSource Communications, Inc.",2368 Corporate Lane,60563,NOTFOUND
Chicago,Equinix,111 Plaza Drive,60559,NOTFOUND
Chicago,Microsoft,Eldamain Rd & Corneils Rd,60545,NOTFOUND
Chicago,"XNet Information Systems, Inc. / Cyrus One",3080 Ogden Ave,60532,2017
Chicago,CenterSquare,4513 Western Ave,60532,2000
Chicago,CloudCenters,711 Ogden Ave,60532,NOTFOUND
Chicago,DataBank,1808 Swift Dr,60523,2014
Chicago,"NaviSite, Inc. / NYI",800 Jorie Blvd,60523,2010
Chicago,Edged Energy,2725 Bilter Rd,60502,2024
Chicago,Lumen,200 E 166th St,60473,NOTFOUND
Chicago,Tract,US-6 & County Rd 2000 E,60450,NOTFOUND
Chicago,Hillwood Development Company,Millsdale Rd / Schweitzer Rd,60421,NOTFOUND
Chicago,Western Hospitality Partners,W Kennedy Rd,60408,NOTFOUND
Chicago,Microsoft,Lakewood Blvd,60192,NOTFOUND
Chicago,Element Critical,341 Haynes Dr,60191,2007
Chicago,Element Critical,711 N. Edgewood Ave.,60191,2008
Chicago,Connect Data Centers by Oppidan,245 Kehoe Blvd,60188,NOTFOUND
Chicago,SBA Edge,603 Discovery Drive,60185,NOTFOUND
Chicago,Compass Datacenters,3333 Beverly Rd,60179,NOTFOUND
Chicago,T5 Data Centers,11650 W Grand Ave,60164,NOTFOUND
Chicago,Digital Realty,505 North Railroad Avenue,60164,2018
Chicago,Aligned Data Centers,505 Northwest Avenue,60164,2021
Chicago,Microsoft,601-605 Northwest Ave,60164,2014
Chicago,DLS Internet Services,950 E. Oak Street,60156,NOTFOUND
Chicago,Lumen,2101 Roberts Drive,60155,NOTFOUND
Chicago,Digital Fortress / Wovering Trading,360 E 22nd St.,60148,2015
Chicago,Amazon,"Portage, IN",60148,2023
Chicago,"NTT DATA, Inc.",275 Pierce Rd,60143,2020
Chicago,Digital Realty,2425-2553 Edgington St,60131,2013
Chicago,TierPoint,9333 West Grand Ave.,60131,2013
Chicago,Meta,1550 Metaverse Wy,60115,2020
Chicago,Chirisa,300 South Fish Lake Rd,60073,NOTFOUND
Chicago,DataBank,800 E Business Center Dr,60056,2016
Chicago,T5 Data Centers,30907 N Alleghany Rd,60030,NOTFOUND
Chicago,Iron Mountain Data Centers,1680 Touhy Avenue,60018,2023
Chicago,CloudHQ,1200 E Algonquin Rd,60016,2015
Chicago,Microsoft,Higgins Rd & Illinois,60010,2022
Chicago,STACK INFRASTRUCTURE,1301 Touhy Ave,60007,2015
Chicago,Digital Realty,1400 East Devon Avenue,60007,2017
Chicago,Aligned Data Centers,150 NW Point Blvd,60007,2011
Chicago,Prime Data Centers,1701 Midway Ct,60007,NOTFOUND
Chicago,EdgeConneX,1800 Nicholas Blvd,60007,2016
Chicago,EdgeConneX,1800 Nicholas Blvd,60007,2018
Chicago,STACK INFRASTRUCTURE,1830 Jarvis Ave,60007,NOTFOUND
Chicago,Equinix,1905 Lunt Avenue,60007,2014
Chicago,Equinix,2001 Lunt Ave,60007,2023
Chicago,Stream Data Centers,1925 Busse Road,60007,2022
Chicago,T5 Data Centers,200 Innovation Dr,60007,2020
Chicago,Stream Data Centers,2000 Landmeier Rd,60007,NOTFOUND
Chicago,Digital Realty,2200 Busse Road,60007,2014
Chicago,Csquare / CenterSquare,2425 Busse Road,60007,2014
Chicago,Aligned Data Centers,50 NW Point Blvd,60007,2011
Chicago,Skybox Datacenters,800 E Devon Ave,60007,2021
Chicago,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,2021
Chicago,Lumen / CloudHQ,"1305 E. Algonquin Avenue,",60005,2015
Chicago,Gigenet,545 E. Algonquin Rd.,60005,NOTFOUND
Chicago,CoreWeave,301 Digital Xrds Dr,46320,2020
