ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
60047,60047.0,B5,G6350,S,90318829.0,3567609.0,42.2015644,-88.0462954,84310.0,1602.0,zip,IL,IL,Forest Lake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,295407.3291667815,322676.54882509744,351931.1854481489,377826.1674928688,404280.50921451213,431693.8823780028,452958.3114931893,457353.49311487935,437239.38400896033,395278.76860486,377490.5276095416,356531.98337330593,353024.27139695623,378898.85337602394,413744.5522748592,419378.096985578,426385.383247775,430219.99559784634,427527.4077462629,422880.0797514668,418881.1308595079,460637.311876742,511416.1278694877,531578.3062732118,566871.5600989993,599218.064729761,621823.679137936
60010,60010.0,B5,G6350,S,191872427.0,7112991.0,42.1464981,-88.1646544,84279.0,916.0,zip,IL,IL,Barrington,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,360774.0880692327,392940.97282309266,421618.7125966239,449493.51449032733,480124.86731937644,513868.6839021703,544074.5511476471,557474.6610574817,535143.3633496867,482360.679290927,455577.6525432661,424519.6608953202,412818.4340651908,437449.2024085615,467428.93454205804,472983.1338837193,475691.8646942251,479142.1070434095,479964.1264975173,472926.9901725364,465829.96203213953,517387.9991167667,568859.1948838737,587874.8772020288,620502.4242614373,649248.5407109744,675549.239269844
61368,61368.0,B5,G6350,S,187452704.0,272065.0,41.2621257,-89.5174931,84935.0,20723.0,zip,IL,IL,Tiskilwa,"Ottawa, IL",Bureau County,,,,,,,,,,,,,,,,73099.74912447928,75550.12207452604,75459.01157597963,77816.33552079678,85744.4417585486,92312.60153803804,100063.07131893362,103695.86577820359,108716.36800110333,117307.60369373266,127452.99750364217,125758.975234502
61356,61356.0,B5,G6350,S,491149847.0,5389459.0,41.3893014,-89.4398631,84926.0,8941.0,zip,IL,IL,Princeton,"Ottawa, IL",Bureau County,,,,,,,,,,102475.97582976021,98402.7804693638,96559.64675579563,99116.45850714552,98845.22851711442,99026.16334280027,98421.66523486654,99190.92462818364,99463.33972660445,101633.69771664392,108482.89420312825,116354.70696120891,126762.54978971166,135309.15443030008,143668.22105465693,154443.95621479573,168200.87748314624,176024.365445532
61354,61354.0,B5,G6350,S,110265672.0,883369.0,41.3341648,-89.1422454,84925.0,9178.0,zip,IL,IL,Peru,"Ottawa, IL",La Salle County,,,,,,,,,,104526.53556601408,100391.26482837927,98063.85725227144,98210.25886521564,95164.998987365,96751.48672526475,96325.30848482055,100541.30626766413,104304.3667423525,110378.66369476316,117187.93519624458,121965.00603304141,131669.4001902635,141119.76935194092,144764.11788206143,152681.72819204367,162305.79123474783,171705.3168848
61327,61327.0,B5,G6350,S,93995939.0,5465300.0,41.2304658,-89.2991462,84903.0,20456.0,zip,IL,IL,Magnolia,"Ottawa, IL",Putnam County,,,,,,,,,,,,,,,,,,108805.30637852609,112981.29796996358,114980.47392542817,120114.12850183825,143627.46701551508,160566.63922201734,176644.68684621877,194859.67041855058,200310.14809678876,207083.086601314
61322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61362,61362.0,B5,G6350,S,65807296.0,1722853.0,41.351426,-89.2237359,84931.0,12303.0,zip,IL,IL,Spring Valley,"Ottawa, IL",Bureau County,,,,,,,,,,99388.50261412941,95529.06606035763,92587.92047921463,93675.5573586679,92632.25595298875,88396.01467111074,87576.214273856,85955.51708870045,86105.3876147736,86682.24371391321,91055.4821246915,101969.27004434737,112124.89966640226,115966.3300054504,120415.32185629317,131610.45776557742,134289.833207364,140162.396383138
61326,61326.0,B5,G6350,S,124124442.0,2184841.0,41.2462487,-89.2297112,84902.0,16384.0,zip,IL,IL,Granville,"Ottawa, IL",Putnam County,,,,,,,,,,,,,,,,76854.94133642627,81233.63875832403,86203.66377342204,94025.14234393805,100421.20885426081,111742.5004734645,128781.73678228592,133638.99427529468,143206.33976962123,150914.11996146516,162651.1874510341,166646.746442532
61329,61329.0,B5,G6350,S,5520281.0,0.0,41.3770468,-89.2078461,84905.0,26662.0,zip,IL,IL,Spring Valley,"Ottawa, IL",Bureau County,,,,,,,,,,93637.15006605448,90548.41928225856,87341.5450416637,87985.41104188123,83962.87848621228,83325.36473902545,84637.76706073906,89635.37219912295,90132.88953554347,87024.27769483844,89339.1007319239,94146.15189566706,104330.51691825375,107748.43731430291,117135.80110345558,122295.26210958317,131968.7708996111,138500.165495114
