Zipcode,Housing_Costs_Score,start_year,end_year
46320,3.683381464951431,2007,2011
60005,4.511639443007476,2007,2011
60007,4.505565125215317,2007,2011
60010,4.578072930402052,2007,2011
60016,4.527740654473252,2007,2011
60018,4.365084336271308,2007,2011
60056,4.545271291785654,2007,2011
60115,4.357182652552561,2007,2011
60131,4.422187981510016,2007,2011
60143,4.569610697724577,2007,2011
60148,4.654343768103503,2007,2011
60164,4.420856245090338,2007,2011
60191,4.615761052986838,2007,2011
60502,4.751841799146956,2007,2011
60523,4.430014858841011,2007,2011
60532,4.736813840193333,2007,2011
60605,4.536367787026306,2007,2011
60607,4.710465162078065,2007,2011
60608,4.1451655231882425,2007,2011
60616,4.284668011577931,2007,2011
60617,4.296612618397817,2007,2011
60632,4.426740623560744,2007,2011
46320,3.670134258024362,2008,2012
60005,4.567797511432522,2008,2012
60007,4.517846731877955,2008,2012
60010,4.586313296816322,2008,2012
60016,4.544242515932601,2008,2012
60018,4.40557537912578,2008,2012
60056,4.570106716354704,2008,2012
60115,4.368575666792705,2008,2012
60131,4.497160364668958,2008,2012
60143,4.626408839779006,2008,2012
60148,4.69031007751938,2008,2012
60164,4.422700455886297,2008,2012
60191,4.670108285066734,2008,2012
60502,4.759290044983375,2008,2012
60523,4.44474761255116,2008,2012
60532,4.755677907777013,2008,2012
60605,4.6084614885471415,2008,2012
60607,4.707013025790318,2008,2012
60608,4.177445117194755,2008,2012
60616,4.324535340172201,2008,2012
60617,4.303719454457863,2008,2012
60632,4.445988666865493,2008,2012
46320,3.709966004651995,2009,2013
60005,4.599136546901202,2009,2013
60007,4.5920760900999325,2009,2013
60010,4.583686698835113,2009,2013
60016,4.585208879297055,2009,2013
60018,4.4171861685428535,2009,2013
60056,4.59560974568128,2009,2013
60115,4.394124776360593,2009,2013
60131,4.519947487418861,2009,2013
60143,4.699683042789223,2009,2013
60148,4.700626366235077,2009,2013
60164,4.463664703844822,2009,2013
60191,4.674790555978674,2009,2013
60502,4.770751376868607,2009,2013
60523,4.49006748407946,2009,2013
60532,4.772463713192102,2009,2013
60605,4.607120876415559,2009,2013
60607,4.6906487792563745,2009,2013
60608,4.165728333896333,2009,2013
60616,4.375256130966504,2009,2013
60617,4.253873029399233,2009,2013
60632,4.450900163666121,2009,2013
46320,3.656432612930155,2010,2014
60005,4.60544504087289,2010,2014
60007,4.625826426290837,2010,2014
60010,4.580174927113703,2010,2014
60016,4.602666358417139,2010,2014
60018,4.45793795620438,2010,2014
60056,4.6283904429895415,2010,2014
60115,4.440389366832376,2010,2014
60131,4.57187453545414,2010,2014
60143,4.722793061540162,2010,2014
60148,4.712174928351555,2010,2014
60164,4.558929812369701,2010,2014
60191,4.7583973750107935,2010,2014
60502,4.808688132661885,2010,2014
60523,4.520720045002813,2010,2014
60532,4.777236391320899,2010,2014
60605,4.589338657953651,2010,2014
60607,4.719449286705325,2010,2014
60608,4.237846373651164,2010,2014
60616,4.406030900372936,2010,2014
60617,4.240343795671237,2010,2014
60632,4.450140477226861,2010,2014
46320,3.549627911471924,2011,2015
60005,4.256491496412834,2011,2015
60007,4.454190245216923,2011,2015
60010,3.274554385964912,2011,2015
60016,4.41012233819626,2011,2015
60018,4.2383798140770255,2011,2015
60056,4.411507261112708,2011,2015
60115,4.3674893357708715,2011,2015
60131,4.493627487515838,2011,2015
60143,4.348858552254216,2011,2015
60148,4.5733869897846375,2011,2015
60164,4.473299036301717,2011,2015
60191,4.6166770379589295,2011,2015
60502,4.351037389237087,2011,2015
60523,3.686071126164267,2011,2015
60532,4.423022208171975,2011,2015
60605,3.8777690133438503,2011,2015
60607,4.380026497654599,2011,2015
60608,4.134768800332716,2011,2015
60616,4.14183914403012,2011,2015
60617,4.081777809232293,2011,2015
60632,4.324059742296018,2011,2015
46320,3.479927701674277,2012,2016
60005,4.335309546908124,2012,2016
60007,4.555675238992864,2012,2016
60010,3.3114039925002756,2012,2016
60016,4.443629697525206,2012,2016
60018,4.324907749077491,2012,2016
60056,4.452524172347725,2012,2016
60115,4.389409716920634,2012,2016
60131,4.473324514991182,2012,2016
60143,4.432171893147503,2012,2016
60148,4.593927592999298,2012,2016
60164,4.502948671277758,2012,2016
60191,4.60697016695557,2012,2016
60502,4.46277942957824,2012,2016
60523,3.6747785249226177,2012,2016
60532,4.428894337598652,2012,2016
60605,3.928947715000658,2012,2016
60607,4.329976895755026,2012,2016
60608,4.169507629743649,2012,2016
60616,4.159107066685625,2012,2016
60617,4.105261296937981,2012,2016
60632,4.35176280452523,2012,2016
46320,3.425290697674418,2013,2017
60005,4.267231043127566,2013,2017
60007,4.6439460967807795,2013,2017
60010,3.2524757862661877,2013,2017
60016,4.495026258881681,2013,2017
60018,4.380299884659746,2013,2017
60056,4.437656829436191,2013,2017
60115,4.357849384064567,2013,2017
60131,4.563746940591856,2013,2017
60143,4.511984021304927,2013,2017
60148,4.624770436730123,2013,2017
60164,4.535989070252391,2013,2017
60191,4.556561508306888,2013,2017
60502,4.4592361567082515,2013,2017
60523,3.748660235798499,2013,2017
60532,4.449986601845118,2013,2017
60605,3.922633208408017,2013,2017
60607,4.2469691838807995,2013,2017
60608,4.266779127731762,2013,2017
60616,4.235848686019563,2013,2017
60617,4.112372603897133,2013,2017
60632,4.3774201858861295,2013,2017
46320,3.385647489327099,2014,2018
60005,4.274652235499219,2014,2018
60007,4.611690384811331,2014,2018
60010,3.2536909848034177,2014,2018
60016,4.522764177509198,2014,2018
60018,4.4310201056240155,2014,2018
60056,4.457484188334504,2014,2018
60115,4.3978825445661025,2014,2018
60131,4.594988780852655,2014,2018
60143,4.416193029490617,2014,2018
60148,4.582098201350659,2014,2018
60164,4.570563079116179,2014,2018
60191,4.534278746274049,2014,2018
60502,4.423991670320035,2014,2018
60523,3.508233058898037,2014,2018
60532,4.459730667363003,2014,2018
60605,3.887551197716272,2014,2018
60607,4.133723443162549,2014,2018
60608,4.320685983298772,2014,2018
60616,4.210169101575981,2014,2018
60617,4.163953528818394,2014,2018
60632,4.390299104442667,2014,2018
46320,3.3848384838483847,2015,2019
60005,4.262039710547891,2015,2019
60007,4.58918716358929,2015,2019
60010,3.207771398050474,2015,2019
60016,4.5601814021899,2015,2019
60018,4.470492337789371,2015,2019
60056,4.430491803278689,2015,2019
60115,4.456837505904582,2015,2019
60131,4.5699180139452915,2015,2019
60143,4.397310513447433,2015,2019
60148,4.615125272691214,2015,2019
60164,4.591973480039498,2015,2019
60191,4.5499189043070825,2015,2019
60502,4.356160491020686,2015,2019
60523,3.3851994439097424,2015,2019
60532,4.436409070565419,2015,2019
60605,3.927159652410973,2015,2019
60607,3.976155090987153,2015,2019
60608,4.355881867678601,2015,2019
60616,4.081370652709826,2015,2019
60617,4.183918606233837,2015,2019
60632,4.416891983893871,2015,2019
46320,3.335577673692428,2016,2020
60005,4.283171284450618,2016,2020
60007,4.623777197563098,2016,2020
60010,3.1557899771483235,2016,2020
60016,4.4977994623120585,2016,2020
60018,4.4694664031620555,2016,2020
60056,4.453758788534343,2016,2020
60115,4.491961970613656,2016,2020
60131,4.622735543074124,2016,2020
60143,4.4597138192643815,2016,2020
60148,4.661638615433471,2016,2020
60164,4.61378889566809,2016,2020
60191,4.5071592716987805,2016,2020
60502,4.435422167142626,2016,2020
60523,3.2490785211660898,2016,2020
60532,4.388271055753262,2016,2020
60605,3.940182915955469,2016,2020
60607,4.019842616880111,2016,2020
60608,4.4302124797789775,2016,2020
60616,4.215473133796878,2016,2020
60617,4.194278020868395,2016,2020
60632,4.437955780799659,2016,2020
46320,3.490608837673532,2017,2021
60005,4.232948621148384,2017,2021
60007,4.666584333098094,2017,2021
60010,3.0044352922540787,2017,2021
60016,4.51978896882494,2017,2021
60018,4.395268652427928,2017,2021
60056,4.427427304090685,2017,2021
60115,4.567731293194164,2017,2021
60131,4.700861214846429,2017,2021
60143,4.285213541186238,2017,2021
60148,4.596800141040616,2017,2021
60164,4.609110657626226,2017,2021
60191,4.689759572573464,2017,2021
60502,4.327333788109356,2017,2021
60523,3.2525534888721643,2017,2021
60532,4.300089782725803,2017,2021
60605,3.7485222490187735,2017,2021
60607,3.860410445390431,2017,2021
60608,4.476084670443367,2017,2021
60616,4.1218403650926705,2017,2021
60617,4.259441069258809,2017,2021
60632,4.52852897473997,2017,2021
46320,3.701734750979295,2018,2022
60005,4.206653261368046,2018,2022
60007,4.539878366637707,2018,2022
60010,2.8067596363930623,2018,2022
60016,4.4310797628873715,2018,2022
60018,4.388662045389801,2018,2022
60056,4.342560483462107,2018,2022
60115,4.59710871893141,2018,2022
60131,4.7521645021645025,2018,2022
60143,4.190318615864612,2018,2022
60148,4.460817029815263,2018,2022
60164,4.563582702425253,2018,2022
60191,4.664684591520166,2018,2022
60502,4.172608763939061,2018,2022
60523,3.265016536861197,2018,2022
60532,4.205687948837043,2018,2022
60605,3.5339179496151156,2018,2022
60607,3.5675050146582317,2018,2022
60608,4.440285920809574,2018,2022
60616,4.070661264542988,2018,2022
60617,4.359593556062896,2018,2022
60632,4.5822812167930405,2018,2022
46320,3.78994928538497,2019,2023
60005,4.148643787322829,2019,2023
60007,4.446316952723003,2019,2023
60010,2.778791924365856,2019,2023
60016,4.4431080382280275,2019,2023
60018,4.458038848584133,2019,2023
60056,4.358324788386915,2019,2023
60115,4.684396566234641,2019,2023
60131,4.710746951219512,2019,2023
60143,4.040094562647754,2019,2023
