scraped_city,state,facility,operator,street,zip_code,city_in_desc
New York,NY,N/A,N/A,N/A,N/A,N/A
New York,NY,60 Hudson Street (JFK12),Digital Realty,60 Hudson Street,10013,New York
New York,NY,32 Avenue of the Americas (JFK13),Digital Realty,32 Avenue of the Americas (6th Ave),10013,New York
New York,NY,111 Eight Avenue (JFK10),Digital Realty,111 8th Avenue,10011,New York
New York,NY,703 Union Boulevard (EWR16),Digital Realty,703 Union Blvd,07512,Totowa
New York,NY,701 Union Boulevard (EWR15),Digital Realty,701 Union Blvd,07512,Totowa
New York,NY,Hivelocity - New York 1,Hivelocity,7 Teleport Drive,10311,Staten Island
New York,NY,NYI - QTD1,QTD Systems,60 Hudson Street,10013,New York
New York,NY,SDC Manhattan,Sabey Data Center Properties LLC,375 Pearl St,10038,New York
New York,NY,DataBank LGA1 - Downtown New York City,DataBank,60 Hudson St,10013,New York
New York,NY,Opti9 NY1,Opti9 Technology,501 Franklin Ave,11530,Garden City
New York,NY,325 Hudson,325 Hudson,325 Hudson,10013,New York
New York,NY,1 Ramland,1547 Critical Systems Realty,1 Ramland Rd,10962,Orangeburg
New York,NY,TELEHOUSE New York Chelsea,Telehouse America,85 10th Avenue,10011,New York
New York,NY,TELEHOUSE New York Teleport,Telehouse America,7 Teleport Drive,10311,New York
New York,NY,NYI - New York,QTD Systems,100 William Street,10038,New York
New York,NY,Hudson InterXchange,Hudson InterXchange,60 Hudson Street,10013,New York
New York,NY,365 Data Centers - New York 2,365 Data Centers,325 Hudson St,10013,New York
New York,NY,DataBank LGA2 - Downtown New York City,DataBank,111 8th Ave,10011,Manhattan
New York,NY,Crown Castle New York (NY1),CROWN CASTLE,111 8th Ave,10011,New York City
New York,NY,Delimiter Commack Data Center,Delimiter Corp,500 Commack Road,NY11725,Commack
New York,NY,Cogent Data Center - New York,"Cogent Communications, Inc.",25 Broadway,10004,New York
New York,NY,CoreSite Secaucus (NY2),CoreSite,2 Emerson Ln,07094,Secaucus
New York,NY,H5 Data Centers New York,H5 Data Centers,325 Hudson St,10013,New York
New York,NY,Equinix NY9,Equinix,111 8th Avenue,10011,New York
New York,NY,CoreSite New York (NY1),CoreSite,32 Avenue of the Americas,10013,New York
New York,NY,Epsilon Global Hubs - New York,Epsilon,60 Hudson Street,10013,New York
New York,NY,DataBank Orangeburg Campus,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,NY,Dataverge NY,DataVerge,882 3rd Ave,11232,Brooklyn
New York,NY,111 Eight Avenue,Google,111 8th Avenue,10011,New York
New York,NY,365 Data Centers - New York 3,365 Data Centers,121 Varick St.,10013,New York
New York,NY,Lunavi Orangeburg,Lunavi,1 Ramland Rd,10962,Orangeburg
New York,NY,Speedcast NY,Speedcast International Ltd.,45 Oser Avenue,11788,Hauppauge
New York,NY,ColoHouse New York,ColoHouse,1 Ramland Road,10962,Orangeburg
New York,NY,NewBridge Brooklyn,NewBridge,927 McDonald Ave,11218,Brooklyn
New York,NY,DataBank LGA4 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,NY,DataBank LGA3 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,NY,75 Broad Street,JEMB Realty Inc.,75 Broad Street,10004,New York
New York,NY,Evocative JFK2,Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua
New York,NY,Cogent Data Center - Hackensack,"Cogent Communications, Inc.",280 State St,07601,Hackensack
New York,NY,365 Data Centers - New York 1,365 Data Centers,65 Broadway,10006,New York
New York,NY,60 Hudson Street,Colliers International,60 Hudson Street,10013,New York
New York,NY,Lumen New York 2,Lumen,601 W 26th,10001,New York
New York,NY,121 Varick St,121 Varick Street Corp.,121 Varick St,10013,New York
New York,NY,Sentinel NY-1,Sentinel Datacenters,155 Corporate Dr,10962,Orangeburg
New York,NY,Metanet Staten Island,"Metanet, Inc.",7 Teleport Dr,10311,Staten Island
New York,NY,Colocation America NYDC3,Colocation America,11 Skyline Dr,10532,Hawthorne
New York,NY,365 Data Centers - New York 4,365 Data Centers,32 6th ave,10013,New York
New York,NY,Blue Hill Plaza,Blue Hill Data Services,2 Blue Hill Plaza,10965,Pearl River
New York,NY,CherryRoad NYC3,CherryRoad Technologies,375 Pearl Street,10038,Manhattan
