,scraped_city,facility,operator,street,zip_code,city_in_desc,avg_home_price_usd,avg_electricity_cost_usd_per_kwh,avg_water_cost_usd_monthly,facility_count,avg_electricity_cost_usd_per_kwh_score,avg_home_price_usd_score,avg_water_cost_usd_monthly_score,avg_electricity_cost_usd_per_kwh_z_score,avg_home_price_usd_z_score,avg_water_cost_usd_monthly_z_score,index_score
0,New York,60 Hudson Street (JFK12),Digital Realty,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
1,New York,32 Avenue of the Americas (JFK13),Digital Realty,32 Avenue of the Americas (6th Ave),10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
2,New York,111 Eight Avenue (JFK10),Digital Realty,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
3,New York,701 Union Boulevard (EWR15),Digital Realty,701 Union Blvd,07512,Totowa,1122000,0.263,82.6,2,8,9,8,1.4471556872058566,2.209980134243893,0.713432615,6.75
4,New York,703 Union Boulevard (EWR16),Digital Realty,703 Union Blvd,07512,Totowa,1122000,0.263,82.6,2,8,9,8,1.4471556872058566,2.209980134243893,0.713432615,6.75
5,New York,Hivelocity - New York 1,Hivelocity,7 Teleport Drive,10311,Staten Island,1051000,0.259,89.8,3,8,8,8,1.3827379001212377,1.9473713609660561,1.2326459919745512,6.75
6,New York,NYI - QTD1,QTD Systems,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
7,New York,SDC Manhattan,Sabey Data Center Properties LLC,375 Pearl St,10038,New York,1038000,0.254,96.1,3,8,8,8,1.3022156662654638,1.899288064450396,1.686957696857074,6.75
8,New York,DataBank LGA1 - Downtown New York City,DataBank,60 Hudson St,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
9,New York,Opti9 NY1,Opti9 Technology,501 Franklin Ave,11530,Garden City,1024000,0.266,105.6,1,8,8,9,1.495469027519321,1.8475060528181464,2.3720309026323076,6.5
