GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G00601","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",196,"ZCTA5 00601",16
"G00602","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",190,"ZCTA5 00602",9
"G00603","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",215,"ZCTA5 00603",15
"G00606","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",128,"ZCTA5 00606",16
"G00610","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",172,"ZCTA5 00610",15
"G00612","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",260,"ZCTA5 00612",24
"G00616","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",198,"ZCTA5 00616",28
"G00617","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",279,"ZCTA5 00617",40
"G00622","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",162,"ZCTA5 00622",36
"G00623","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",234,"ZCTA5 00623",26
"G00624","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",193,"ZCTA5 00624",11
"G00627","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",215,"ZCTA5 00627",15
"G00631","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",160,"ZCTA5 00631",38
"G00637","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",193,"ZCTA5 00637",12
"G00638","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",200,"ZCTA5 00638",20
