GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G00601","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",200,"ZCTA5 00601",18
"G00602","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",195,"ZCTA5 00602",8
"G00603","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",219,"ZCTA5 00603",18
"G00606","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",136,"ZCTA5 00606",14
"G00610","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",182,"ZCTA5 00610",15
"G00612","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",272,"ZCTA5 00612",20
"G00616","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",220,"ZCTA5 00616",37
"G00617","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",281,"ZCTA5 00617",34
"G00622","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",208,"ZCTA5 00622",40
"G00623","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",249,"ZCTA5 00623",35
"G00624","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",204,"ZCTA5 00624",16
"G00627","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",223,"ZCTA5 00627",17
"G00631","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",183,"ZCTA5 00631",60
"G00637","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",192,"ZCTA5 00637",17
"G00638","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",218,"ZCTA5 00638",25
"G00641","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",194,"ZCTA5 00641",10
"G00646","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",444,"ZCTA5 00646",57
"G00647","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",166,"ZCTA5 00647",26
"G00650","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",218,"ZCTA5 00650",45
"G00652","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",181,"ZCTA5 00652",27
"G00653","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA5 00653",186,"ZCTA5 00653",12
"G00656","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"86000US00656",,"ZCTA5 00656",185,"ZCTA5 00656",11
"G00659","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"86000US00659",,"ZCTA5 00659",233,"ZCTA5 00659",14
"G00660","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"86000US00660",,"ZCTA5 00660",342,"ZCTA5 00660",39
"G00662","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"86000US00662",,"ZCTA5 00662",252,"ZCTA5 00662",29
"G00664","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"86000US00664",,"ZCTA5 00664",218,"ZCTA5 00664",35
"G00667","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"86000US00667",,"ZCTA5 00667",208,"ZCTA5 00667",27
"G00669","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"86000US00669",,"ZCTA5 00669",227,"ZCTA5 00669",17
"G00670","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"86000US00670",,"ZCTA5 00670",186,"ZCTA5 00670",15
"G00674","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"86000US00674",,"ZCTA5 00674",277,"ZCTA5 00674",25
"G00676","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"86000US00676",,"ZCTA5 00676",186,"ZCTA5 00676",10
"G00677","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"86000US00677",,"ZCTA5 00677",210,"ZCTA5 00677",31
"G00678","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"86000US00678",,"ZCTA5 00678",207,"ZCTA5 00678",34
"G00680","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"86000US00680",,"ZCTA5 00680",245,"ZCTA5 00680",16
"G00682","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"86000US00682",,"ZCTA5 00682",263,"ZCTA5 00682",22
"G00683","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"86000US00683",,"ZCTA5 00683",161,"ZCTA5 00683",14
"G00685","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"86000US00685",,"ZCTA5 00685",188,"ZCTA5 00685",8
"G00687","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"86000US00687",,"ZCTA5 00687",246,"ZCTA5 00687",25
"G00688","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"86000US00688",,"ZCTA5 00688",185,"ZCTA5 00688",16
"G00690","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"86000US00690",,"ZCTA5 00690",406,"ZCTA5 00690",100
"G00692","2008-2012","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"86000US00692",,"ZCTA5 00692",289,"ZCTA5 00692",19
