GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,U2TE001,NAME_M,U2TM001
"G00601","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",202,"ZCTA5 00601",21
"G00602","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",180,"ZCTA5 00602",9
"G00603","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",215,"ZCTA5 00603",19
"G00606","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",141,"ZCTA5 00606",16
"G00610","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",192,"ZCTA5 00610",16
"G00612","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",274,"ZCTA5 00612",20
"G00616","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",200,"ZCTA5 00616",25
"G00617","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",290,"ZCTA5 00617",34
"G00622","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",238,"ZCTA5 00622",83
"G00623","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",286,"ZCTA5 00623",48
"G00624","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",189,"ZCTA5 00624",10
"G00627","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",222,"ZCTA5 00627",17
"G00631","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",166,"ZCTA5 00631",89
"G00637","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",184,"ZCTA5 00637",14
"G00638","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",219,"ZCTA5 00638",22
"G00641","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",193,"ZCTA5 00641",11
"G00646","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",478,"ZCTA5 00646",58
"G00647","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",150,"ZCTA5 00647",21
"G00650","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",215,"ZCTA5 00650",34
"G00652","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",185,"ZCTA5 00652",26
"G00653","2009-2013","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA5 00653",173,"ZCTA5 00653",17
