GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G00601","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",204,"ZCTA5 00601",17
"G00602","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",182,"ZCTA5 00602",12
"G00603","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",235,"ZCTA5 00603",18
"G00606","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",142,"ZCTA5 00606",20
"G00610","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",196,"ZCTA5 00610",14
"G00612","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",280,"ZCTA5 00612",29
"G00616","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",219,"ZCTA5 00616",36
"G00617","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",333,"ZCTA5 00617",78
"G00622","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",336,"ZCTA5 00622",238
"G00623","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",332,"ZCTA5 00623",62
"G00624","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",205,"ZCTA5 00624",16
"G00627","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",237,"ZCTA5 00627",17
"G00631","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",158,"ZCTA5 00631",68
"G00637","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",191,"ZCTA5 00637",14
"G00638","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",211,"ZCTA5 00638",21
"G00641","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",207,"ZCTA5 00641",21
"G00646","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",490,"ZCTA5 00646",49
"G00647","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",145,"ZCTA5 00647",18
"G00650","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",229,"ZCTA5 00650",36
"G00652","2010-2014","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",195,"ZCTA5 00652",48
