GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD8XE001,NAME_M,AD8XM001
"G00601","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",212,"ZCTA5 00601",20
"G00602","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",179,"ZCTA5 00602",13
"G00603","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",237,"ZCTA5 00603",16
"G00606","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",144,"ZCTA5 00606",18
"G00610","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",198,"ZCTA5 00610",15
"G00612","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",288,"ZCTA5 00612",23
"G00616","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",198,"ZCTA5 00616",25
"G00617","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",302,"ZCTA5 00617",68
"G00622","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",310,"ZCTA5 00622",148
"G00623","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",375,"ZCTA5 00623",46
"G00624","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",207,"ZCTA5 00624",18
"G00627","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",243,"ZCTA5 00627",17
"G00631","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",172,"ZCTA5 00631",80
"G00637","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",184,"ZCTA5 00637",12
"G00638","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",204,"ZCTA5 00638",23
"G00641","2011-2015","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",194,"ZCTA5 00641",14
