GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AGQNE001,NAME_M,AGQNM001
"G00601","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",217,"ZCTA5 00601",27
"G00602","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",182,"ZCTA5 00602",11
"G00603","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",248,"ZCTA5 00603",20
"G00606","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",144,"ZCTA5 00606",22
"G00610","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",196,"ZCTA5 00610",15
"G00612","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",287,"ZCTA5 00612",23
"G00616","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",190,"ZCTA5 00616",24
"G00617","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",273,"ZCTA5 00617",76
"G00622","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",342,"ZCTA5 00622",138
"G00623","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",375,"ZCTA5 00623",45
"G00624","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",204,"ZCTA5 00624",22
"G00627","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",249,"ZCTA5 00627",27
"G00631","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",175,"ZCTA5 00631",32
"G00637","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",187,"ZCTA5 00637",14
"G00638","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",205,"ZCTA5 00638",27
"G00641","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",194,"ZCTA5 00641",12
