GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G00601","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",210,"ZCTA5 00601",31
"G00602","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",179,"ZCTA5 00602",13
"G00603","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",253,"ZCTA5 00603",27
"G00606","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",129,"ZCTA5 00606",18
"G00610","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",200,"ZCTA5 00610",23
"G00612","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",273,"ZCTA5 00612",32
"G00616","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",208,"ZCTA5 00616",36
"G00617","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",294,"ZCTA5 00617",92
"G00622","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",278,"ZCTA5 00622",70
"G00623","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",357,"ZCTA5 00623",49
"G00624","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",199,"ZCTA5 00624",16
"G00627","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",254,"ZCTA5 00627",31
"G00631","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",189,"ZCTA5 00631",39
"G00637","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",195,"ZCTA5 00637",16
