GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ANDYE001,NAME_M,ANDYM001
"G00601","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA 00601",158,"ZCTA 00601",24
"G00602","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA 00602",160,"ZCTA 00602",13
"G00603","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA 00603",257,"ZCTA 00603",26
"G00606","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA 00606",116,"ZCTA 00606",18
"G00610","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA 00610",193,"ZCTA 00610",21
"G00612","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA 00612",294,"ZCTA 00612",28
"G00616","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA 00616",225,"ZCTA 00616",40
"G00617","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA 00617",287,"ZCTA 00617",103
"G00622","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA 00622",185,"ZCTA 00622",57
"G00623","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA 00623",328,"ZCTA 00623",39
"G00624","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA 00624",215,"ZCTA 00624",25
"G00627","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA 00627",191,"ZCTA 00627",11
"G00631","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA 00631",182,"ZCTA 00631",40
"G00637","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA 00637",197,"ZCTA 00637",24
"G00638","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA 00638",186,"ZCTA 00638",20
"G00641","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA 00641",229,"ZCTA 00641",29
"G00646","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA 00646",345,"ZCTA 00646",66
"G00647","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA 00647",116,"ZCTA 00647",16
"G00650","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA 00650",339,"ZCTA 00650",139
"G00652","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA 00652",289,"ZCTA 00652",209
