ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
46301,4.433789954337899,4.161178509532062,4.267796610169492,4.067415730337078,3.8796875,3.9020408163265303,3.992917847025496,3.973451327433629,4.1199324324324325,4.216981132075472,3.6386687797147386,3.7021943573667713,3.38863976083707,3.360163710777626
46302,,,,,,,,,,,3.409090909090909,3.5806451612903225,4.173076923076923,5.152173913043479
46303,4.534190179736921,4.477619139494501,4.460654796094199,4.488832487309645,4.416351700815596,4.356234598324297,4.352917863866046,4.358286252354049,4.361914969632012,4.32192513368984,4.382314158562717,4.372735576191201,4.462379668848672,4.487249675839216
46304,4.493639311549015,4.472253277772131,4.475397936433867,4.487206320966982,4.324426885689037,4.336536408285287,4.386561592700124,4.350976782244042,4.431087777832294,4.389399806389158,4.490484932610935,4.4307444599805095,4.412201433965466,4.429086343755063
46307,4.4832286043012655,4.50291053592525,4.460960546700906,4.511948490605869,4.430148701257259,4.457421235135192,4.444145808835881,4.443497112839007,4.474884232821812,4.487802378023781,4.506270950246695,4.472867505279589,4.466911100675505,4.387221300238113
46310,4.111041861431391,4.224479220644627,4.19646221477915,4.112476567381796,4.048581343131251,3.993032384690873,3.94324698437809,3.971321812237272,4.058374453030444,4.023573085846868,4.120871799752546,4.1824203365556745,4.253120542082739,4.27808841516687
46311,4.586664104534973,4.541327997999249,4.482938329817595,4.426771653543307,4.369282284559009,4.349109856708641,4.35291282607386,4.425232813334124,4.444315813845797,4.4359325125399,4.538632225762403,4.536325825095879,4.483769468771304,4.421804628047833
46312,3.818685943456949,3.786784498958809,3.6761290322580646,3.688263697280252,3.3663376110562684,3.2611692247531527,3.292547761411696,3.345580300206024,3.2871511068334938,3.2197662959312967,3.382326374949819,3.611018034887159,3.720387670480092,3.903282297608326
46319,4.378642111050027,4.344662551154887,4.32220124872949,4.285962499095056,4.219702493801954,4.206828913912096,4.274522203485104,4.386944771672095,4.475617391304348,4.484542372881356,4.619415000670871,4.608516200041274,4.661745233050848,4.676395289298515
46320,3.683381464951431,3.670134258024362,3.709966004651995,3.6564326129301543,3.549627911471924,3.479927701674277,3.425290697674418,3.385647489327099,3.3848384838483847,3.335577673692428,3.490608837673532,3.701734750979295,3.78994928538497,3.9901044030867
46321,4.441108666037934,4.478616684266103,4.42745244311824,4.41399712168861,4.198238126504705,4.231904657773891,4.203387070509689,4.12937214859874,4.230570659636403,4.297709068503893,4.37722850381278,4.395009251387708,4.395349975526187,4.364841724154802
