scraped_city,facility,operator,street,zip_code,city_in_desc
New York,60 Hudson Street (JFK12),Digital Realty,60 Hudson Street,10013,New York
New York,32 Avenue of the Americas (JFK13),Digital Realty,32 Avenue of the Americas (6th Ave),10013,New York
New York,111 Eight Avenue (JFK10),Digital Realty,111 8th Avenue,10011,New York
New York,701 Union Boulevard (EWR15),Digital Realty,701 Union Blvd,07512,Totowa
New York,703 Union Boulevard (EWR16),Digital Realty,703 Union Blvd,07512,Totowa
New York,Hivelocity - New York 1,Hivelocity,7 Teleport Drive,10311,Staten Island
New York,NYI - QTD1,QTD Systems,60 Hudson Street,10013,New York
New York,SDC Manhattan,Sabey Data Center Properties LLC,375 Pearl St,10038,New York
New York,DataBank LGA1 - Downtown New York City,DataBank,60 Hudson St,10013,New York
New York,Opti9 NY1,Opti9 Technology,501 Franklin Ave,11530,Garden City
New York,325 Hudson,325 Hudson,325 Hudson,10013,New York
New York,TELEHOUSE New York Chelsea,Telehouse America,85 10th Avenue,10011,New York
New York,1 Ramland,1547 Critical Systems Realty,1 Ramland Rd,10962,Orangeburg
New York,TELEHOUSE New York Teleport,Telehouse America,7 Teleport Drive,10311,New York
New York,NYI - New York,QTD Systems,100 William Street,10038,New York
New York,Hudson InterXchange,Hudson InterXchange,60 Hudson Street,10013,New York
New York,365 Data Centers - New York 2,365 Data Centers,325 Hudson St,10013,New York
New York,DataBank LGA2 - Downtown New York City,DataBank,111 8th Ave,10011,Manhattan
New York,Crown Castle New York (NY1),CROWN CASTLE,111 8th Ave,10011,New York City
New York,Delimiter Commack Data Center,Delimiter Corp,500 Commack Road,NY11725,Commack
New York,Cogent Data Center - New York,"Cogent Communications, Inc.",25 Broadway,10004,New York
New York,CoreSite Secaucus (NY2),CoreSite,2 Emerson Ln,07094,Secaucus
New York,H5 Data Centers New York,H5 Data Centers,325 Hudson St,10013,New York
New York,Equinix NY9,Equinix,111 8th Avenue,10011,New York
New York,CoreSite New York (NY1),CoreSite,32 Avenue of the Americas,10013,New York
New York,DataBank Orangeburg Campus,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,Epsilon Global Hubs - New York,Epsilon,60 Hudson Street,10013,New York
New York,Dataverge NY,DataVerge,882 3rd Ave,11232,Brooklyn
New York,111 Eight Avenue,Google,111 8th Avenue,10011,New York
New York,Speedcast NY,Speedcast International Ltd.,45 Oser Avenue,11788,Hauppauge
New York,365 Data Centers - New York 3,365 Data Centers,121 Varick St.,10013,New York
New York,Lunavi Orangeburg,Lunavi,1 Ramland Rd,10962,Orangeburg
New York,ColoHouse New York,ColoHouse,1 Ramland Road,10962,Orangeburg
New York,NewBridge Brooklyn,NewBridge,927 McDonald Ave,11218,Brooklyn
New York,DataBank LGA3 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,DataBank LGA4 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg
New York,75 Broad Street,JEMB Realty Inc.,75 Broad Street,10004,New York
New York,Evocative JFK2,Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua
New York,365 Data Centers - New York 1,365 Data Centers,65 Broadway,10006,New York
New York,Cogent Data Center - Hackensack,"Cogent Communications, Inc.",280 State St,07601,Hackensack
New York,Lumen New York 2,Lumen,601 W 26th,10001,New York
New York,60 Hudson Street,Colliers International,60 Hudson Street,10013,New York
New York,121 Varick St,121 Varick Street Corp.,121 Varick St,10013,New York
New York,Sentinel NY-1,Sentinel Datacenters,155 Corporate Dr,10962,Orangeburg
New York,Metanet Staten Island,"Metanet, Inc.",7 Teleport Dr,10311,Staten Island
New York,Colocation America NYDC3,Colocation America,11 Skyline Dr,10532,Hawthorne
New York,365 Data Centers - New York 4,365 Data Centers,32 6th ave,10013,New York
New York,CherryRoad NYC3,CherryRoad Technologies,375 Pearl Street,10038,Manhattan
New York,Blue Hill Plaza,Blue Hill Data Services,2 Blue Hill Plaza,10965,Pearl River
New York,Centersquare - New York EWR3-B,Csquare,365 S Randolphville,08854,Piscataway
New York,Metanet Chelsea,"Metanet, Inc.",85 10th Ave,10011,New York
New York,Arbinet 75 Broad St,Arbinet,75 Broad St.,10004,New York
New York,Frontline Data Services Orangeburg,Frontline Data Services,100 Dutch Hill Rd,10962,Orangeburg
New York,The Starrett-Lehigh Building,Windstream,601 W 26th Street,10001,New York
New York,365 Data Centers - Long Island,365 Data Centers,500 Commack Road,j11725,Commack
New York,Colocation America NYDC1,Colocation America,60 Hudson Street,10013,New York
New York,EXA DC New York,EXA Infrastructure,60 Hudson Street,10013,New York
New York,Colocation America NYDC2,Colocation America,111 8th Avenue,10011,New York
New York,Crown Castle New York - 60 Hudson St,CROWN CASTLE,60 Hudson St,10013,New York
New York,Lumen New York 1,Lumen,111 8th Avenue,10011,New York
New York,TeliaSonera NYKEC,Telia Company,111 8th Avenue,10011,New York
New York,32 Avenue of the Americas,Rudin Management Company,32 Avenue of the Americas (6th Ave),10019,New York
New York,AT&T New York,AT&T,811 10th Avenue,10019,New York
New York,AT&T Secaucus,AT&T,15 Enterprise Ave N,07094,Secaucus
New York,NaviSite New York,"NaviSite, Inc.",395 Hudson St,10014,New York
New York,New York Connect Data Center,"New York Connect.Net, Ltd.",111 8th Avenue,10011,New York
New York,LG Networks NYC Node,Lumen,150 Varick Street,10012,New York
New York,TELEHOUSE Briad Financial Center,Telehouse America,33 Whitehall Street,10004,New York
New York,Tata Communications New York,Tata Communications,32 6th Ave,10013,New York
New York,Metanet New York,"Metanet, Inc.",111 8th Avenue,10011,New York
